2.6,40,1008,22250,2383,59500,2.17,40,933,22250,2366,59500,1.23,13.5,,87,0.73,13.5,,87,3.54,88,4.03,88
2.42,41,777,22500,2307,60000,2.07,41,668,22500,2206,60000,0.8,14.5,,89,0.97,14.5,,89,3.4,90,3.81,90
2.42,40,726,22750,2181,59000,2.5,40,618,22750,2253,59000,1.17,14,,88,0.84,14,,88,3.87,88,3.8,88
2.38,41,1084,22250,2303,57000,2.52,41,1185,22250,2272,57000,0.95,14,,84,1.04,14,,84,4.22,84,4.44,84
2.13,40.5,625,23250,1596,56500,1.95,40.5,535,23250,1367,56500,0.67,14.2,,85,0.79,14.2,,85,3.04,86,3.84,86
1.9,40,589,24250,1733,60500,1.7,40,521,24250,1848,60500,0.52,14.8,,91,0.52,14.8,,91,2.75,91,2.66,91
1.72,41.5,493,25250,1302,63000,1.65,41.5,588,25250,1468,63000,0.59,15.2,,94,0.47,15.2,,94,2.93,95,2.37,95
1.73,40,484,24750,1207,62000,1.6,40,586,24750,1360,62000,0.69,14.8,,94,0.47,14.8,,94,2.6,94,2.2,94
1.7,42,516,25250,1152,65000,1.67,42,572,25250,1152,65000,0.66,15,,94,0.47,15,,94,3.1,94,1.99,94
1.5,45,516,25250,1152,65000,1.88,45,572,25250,1152,65000,0.39,16,,94,0.55,16,,94,2.13,102,2.49,102
1.4,47,599,25000,1290,65500,1.7,47,519,25000,1118,65500,0.49,15.5,,94,0.49,15.5,,94,1.97,102,2.73,102
1.77,46,581,25000,1673,65500,1.55,46,622,25000,1457,65500,0.4,16,,94,0.59,16,,94,2.79,102,2.05,102
2,45,581,25000,1673,64000,1.47,45,622,25000,1457,64000,0.55,15.5,,94,0.49,15.5,,94,2.54,100,2.4,100
1.62,47,631,25250,1360,65000,1.9,47,633,25250,1480,65000,0.45,16,,94,0.58,16,,94,3.43,100,1.78,100
1.62,47,794,25250,1438,65000,1.9,47,754,25250,1602,65000,0.5,16,,94,0.57,16,,94,3.22,100,2.06,100
